ticker,exchange,assetType,priceCurrency,startDate,endDate
000566,SHE,Stock,CNY,2007-01-04,2017-03-17
000567,SHE,Stock,CNY,2007-01-04,2017-03-17
000568,SHE,Stock,CNY,2007-01-04,2017-03-17
000569,SHE,Stock,CNY,2007-01-04,2009-04-23
000570,SHE,Stock,CNY,2007-01-04,2017-03-17
000571,SHE,Stock,CNY,2007-01-04,2017-03-17
000572,SHE,Stock,CNY,2007-01-04,2017-03-17
000573,SHE,Stock,CNY,2007-01-04,2017-03-17
000576,SHE,Stock,CNY,2007-01-04,2017-03-17
000578,SHE,Stock,CNY,2007-07-16,2011-02-18
000581,SHE,Stock,CNY,2007-01-04,2017-03-17
000582,SHE,Stock,CNY,2007-01-08,2017-03-17
000584,SHE,Stock,CNY,2007-01-04,2016-09-30
000585,SHE,Stock,CNY,2007-01-04,2017-03-17
000586,SHE,Stock,CNY,2007-01-04,2017-01-13
000587,SHE,Stock,CNY,2007-01-04,2017-03-17
000589,SHE,Stock,CNY,2007-01-04,2017-03-17
000590,SHE,Stock,CNY,2007-01-04,2017-03-17
000591,SHE,Stock,CNY,2007-01-08,2017-03-17
000592,SHE,Stock,CNY,2008-04-14,2017-03-17
000593,SHE,Stock,CNY,2007-01-04,2017-03-17
000594,SHE,Stock,CNY,2007-01-04,2015-07-13
000595,SHE,Stock,CNY,2007-01-04,2017-03-17
000596,SHE,Stock,CNY,2007-01-04,2017-03-17
000597,SHE,Stock,CNY,2007-01-04,2017-03-17
000598,SHE,Stock,CNY,2007-01-04,2017-03-17
000599,SHE,Stock,CNY,2007-01-04,2017-03-17
000600,SHE,Stock,CNY,2007-01-04,2017-03-17
000601,SHE,Stock,CNY,2007-01-04,2017-03-17
000602,SHE,Stock,CNY,2007-01-04,2013-08-16
000603,SHE,Stock,CNY,2007-01-04,2017-03-17
000605,SHE,Stock,CNY,2007-01-04,2017-03-17
000606,SHE,Stock,CNY,2007-01-04,2017-03-17
000607,SHE,Stock,CNY,2007-01-04,2017-03-17
000608,SHE,Stock,CNY,2007-01-04,2017-03-17
000609,SHE,Stock,CNY,2007-01-29,2017-03-17
000610,SHE,Stock,CNY,2007-01-04,2017-03-17
000611,SHE,Stock,CNY,2007-01-04,2017-03-08
000612,SHE,Stock,CNY,2007-01-04,2017-03-17
000613,SHE,Stock,CNY,2007-06-01,2017-02-14
000615,SHE,Stock,CNY,2007-01-04,2017-03-17
000616,SHE,Stock,CNY,2007-01-04,2017-03-17
000617,SHE,Stock,CNY,2007-01-29,2017-03-17
000619,SHE,Stock,CNY,2007-01-04,2017-03-17
000620,SHE,Stock,CNY,2011-07-08,2017-03-17
000622,SHE,Stock,CNY,2013-02-08,2017-03-17
000623,SHE,Stock,CNY,2007-01-04,2017-03-17
000625,SHE,Stock,CNY,2007-01-04,2017-03-17
000626,SHE,Stock,CNY,2007-01-04,2017-03-17
000627,SHE,Stock,CNY,2007-01-04,2017-03-17
000628,SHE,Stock,CNY,2007-01-04,2017-03-17
000629,SHE,Stock,CNY,2007-01-04,2017-03-17
000630,SHE,Stock,CNY,2007-01-04,2017-03-17
000631,SHE,Stock,CNY,2009-06-08,2017-03-17
000632,SHE,Stock,CNY,2007-01-04,2017-03-17
000633,SHE,Stock,CNY,2007-03-26,2017-03-17
000635,SHE,Stock,CNY,2007-01-04,2017-03-17
000636,SHE,Stock,CNY,2007-01-04,2017-03-17
000637,SHE,Stock,CNY,2007-01-29,2017-03-17
000638,SHE,Stock,CNY,2009-06-05,2017-03-17
000639,SHE,Stock,CNY,2007-01-04,2017-03-17
000650,SHE,Stock,CNY,2007-03-29,2017-03-17
000651,SHE,Stock,CNY,2007-01-04,2017-03-17
000652,SHE,Stock,CNY,2007-01-04,2017-03-17
000655,SHE,Stock,CNY,2007-01-04,2017-03-17
000656,SHE,Stock,CNY,2007-01-04,2017-03-17
000657,SHE,Stock,CNY,2007-01-04,2017-03-17
000659,SHE,Stock,CNY,2007-01-04,2017-03-17
000661,SHE,Stock,CNY,2007-01-19,2017-03-17
000662,SHE,Stock,CNY,2007-01-04,2017-03-17
000663,SHE,Stock,CNY,2007-01-04,2017-03-17
000665,SHE,Stock,CNY,2007-01-04,2017-03-17
000666,SHE,Stock,CNY,2007-01-04,2017-03-17
000667,SHE,Stock,CNY,2007-01-04,2017-03-17
000668,SHE,Stock,CNY,2007-01-22,2017-03-17
000669,SHE,Stock,CNY,2007-01-04,2017-03-17
000670,SHE,Stock,CNY,2007-01-04,2017-03-17
000671,SHE,Stock,CNY,2007-01-04,2017-03-17
000672,SHE,Stock,CNY,2007-01-04,2017-03-17
000673,SHE,Stock,CNY,2007-01-04,2017-01-17
000676,SHE,Stock,CNY,2007-01-04,2017-03-17
000677,SHE,Stock,CNY,2007-01-04,2017-03-17
000678,SHE,Stock,CNY,2007-01-04,2017-03-17
000679,SHE,Stock,CNY,2007-01-04,2017-03-17
000680,SHE,Stock,CNY,2007-01-04,2017-03-17
000681,SHE,Stock,CNY,2007-01-04,2017-03-17
000682,SHE,Stock,CNY,2007-01-04,2016-09-30
000683,SHE,Stock,CNY,2007-01-04,2017-03-17
000685,SHE,Stock,CNY,2007-01-04,2017-03-17
000686,SHE,Stock,CNY,2007-01-09,2017-03-17
000687,SHE,Stock,CNY,2007-01-04,2017-03-17
000688,SHE,Stock,CNY,2007-01-04,2017-03-17
000690,SHE,Stock,CNY,2007-01-04,2017-03-17
000691,SHE,Stock,CNY,2007-01-04,2017-03-17
000692,SHE,Stock,CNY,2007-01-04,2017-03-17
000693,SHE,Stock,CNY,2007-01-04,2016-02-29
000695,SHE,Stock,CNY,2007-01-04,2017-03-16
000697,SHE,Stock,CNY,2007-01-04,2016-11-16
000698,SHE,Stock,CNY,2007-01-04,2017-03-17
000700,SHE,Stock,CNY,2007-01-04,2017-03-17
000701,SHE,Stock,CNY,2007-01-04,2017-03-17
000702,SHE,Stock,CNY,2007-01-04,2017-03-17
000703,SHE,Stock,CNY,2007-01-04,2017-03-17
000705,SHE,Stock,CNY,2007-01-04,2017-03-17
000707,SHE,Stock,CNY,2007-01-04,2017-03-17
000708,SHE,Stock,CNY,2007-01-04,2017-03-17
000709,SHE,Stock,CNY,2007-01-04,2017-03-17
000710,SHE,Stock,CNY,2007-01-04,2017-03-17
000711,SHE,Stock,CNY,2007-01-04,2017-03-16
000712,SHE,Stock,CNY,2007-01-04,2017-03-17
000713,SHE,Stock,CNY,2007-01-04,2017-03-17
000715,SHE,Stock,CNY,2007-01-04,2017-03-17
000716,SHE,Stock,CNY,2007-01-04,2016-12-30
000717,SHE,Stock,CNY,2007-01-04,2017-03-17
000718,SHE,Stock,CNY,2007-01-04,2017-03-17
000719,SHE,Stock,CNY,2007-01-11,2017-03-17
000720,SHE,Stock,CNY,2007-01-04,2017-03-17
000721,SHE,Stock,CNY,2007-03-05,2017-03-17
000722,SHE,Stock,CNY,2007-01-05,2017-03-17
000723,SHE,Stock,CNY,2007-01-04,2017-02-17
000725,SHE,Stock,CNY,2007-01-04,2017-03-17
000726,SHE,Stock,CNY,2007-01-04,2017-03-17
000727,SHE,Stock,CNY,2007-01-04,2017-03-17
000728,SHE,Stock,CNY,2007-03-19,2017-03-17
000729,SHE,Stock,CNY,2007-01-04,2017-03-17
000731,SHE,Stock,CNY,2007-01-15,2017-03-17
000732,SHE,Stock,CNY,2007-01-04,2017-03-17
000733,SHE,Stock,CNY,2007-01-04,2017-03-10
000735,SHE,Stock,CNY,2007-01-04,2017-03-17
000736,SHE,Stock,CNY,2007-10-15,2017-03-17
000737,SHE,Stock,CNY,2007-01-04,2017-03-17
000738,SHE,Stock,CNY,2007-01-04,2017-03-17
000739,SHE,Stock,CNY,2007-01-04,2017-03-15
000748,SHE,Stock,CNY,2007-01-04,2016-10-31
000750,SHE,Stock,CNY,2009-01-19,2017-03-17
000751,SHE,Stock,CNY,2007-01-04,2017-03-17
000752,SHE,Stock,CNY,2007-01-04,2017-03-17
000753,SHE,Stock,CNY,2007-01-04,2017-03-17
000755,SHE,Stock,CNY,2007-01-04,2017-03-17
000756,SHE,Stock,CNY,2007-01-04,2017-03-17
000757,SHE,Stock,CNY,2007-01-08,2017-03-17
